"Date","Open","High","Low","Close","Adj Close","Volume"
"Sep 27, 2024","292.70","298.45","289.70","297.20","290.09","35,706,130"
"Sep 26, 2024","297.05","298.70","291.50","295.20","288.13","27,812,412"
"Sep 25, 2024","299.45","301.20","296.70","298.70","291.55","10,609,614"
"Sep 24, 2024","296.30","302.00","294.70","299.45","292.28","16,986,759"
"Sep 23, 2024","288.40","296.40","287.55","295.45","288.38","14,621,229"
"Sep 20, 2024","287.00","289.05","285.20","286.25","279.40","16,585,530"
"Sep 19, 2024","287.40","289.20","282.50","285.25","278.42","17,067,311"
"Sep 18, 2024","297.60","297.80","287.90","290.40","283.45","13,421,760"
"Sep 17, 2024","293.70","296.60","292.15","294.65","287.60","11,873,436"
"Sep 16, 2024","294.80","295.40","291.35","292.50","285.50","10,971,110"
"Sep 13, 2024","295.70","297.25","291.05","291.45","284.47","13,672,371"
"Sep 12, 2024","288.00","294.75","286.50","294.05","287.01","21,964,895"
"Sep 11, 2024","292.40","292.40","283.25","285.30","278.47","44,826,300"
"Sep 10, 2024","300.10","301.50","295.00","295.60","288.52","15,618,589"
"Sep 9, 2024","308.70","308.70","294.65","298.90","291.74","30,369,085"
"Sep 6, 2024","311.50","313.15","303.70","308.80","301.41","27,946,491"
"Sep 5, 2024","316.95","316.95","310.15","311.40","303.95","15,571,640"
"Sep 4, 2024","315.00","316.20","308.40","314.40","306.87","25,397,204"
"Sep 3, 2024","327.00","328.00","321.65","322.20","314.49","10,321,111"
"Sep 2, 2024","330.00","331.95","325.80","326.20","318.39","8,975,511"
"Aug 30, 2024","330.45","334.40","329.55","330.75","322.83","19,666,466"
"Aug 29, 2024","326.10","330.15","324.95","329.60","321.71","13,799,961"
"Aug 28, 2024","328.65","330.30","324.65","327.80","319.95","12,446,738"
"Aug 27, 2024","329.40","332.55","326.00","328.85","320.98","20,165,503"
"Aug 26, 2024","323.50","329.10","322.80","327.85","320.00","21,346,682"
"Aug 23, 2024","2.50 Dividend"
"Aug 23, 2024","324.40","324.80","317.55","318.90","311.27","13,229,612"
"Aug 22, 2024","328.55","330.50","323.60","324.35","314.15","13,387,819"
"Aug 21, 2024","330.65","331.50","326.50","327.70","317.39","11,835,143"
"Aug 20, 2024","335.85","336.00","328.05","330.10","319.71","14,972,714"
"Aug 19, 2024","335.00","338.75","333.55","335.30","324.75","19,636,518"
"Aug 16, 2024","332.55","335.75","328.65","329.60","319.23","16,584,396"
"Aug 14, 2024","335.85","336.50","326.80","328.15","317.83","17,812,763"
"Aug 13, 2024","344.10","345.00","332.95","335.90","325.33","28,943,385"
"Aug 12, 2024","332.75","344.70","329.90","341.30","330.56","34,754,596"
"Aug 9, 2024","333.95","335.85","328.20","332.55","322.09","29,814,474"
"Aug 8, 2024","329.00","329.00","321.70","322.70","312.55","23,478,224"
"Aug 7, 2024","312.40","330.95","312.00","329.10","318.75","66,110,716"
"Aug 6, 2024","314.80","322.45","305.15","306.10","296.47","28,386,636"
"Aug 5, 2024","320.35","323.30","306.00","310.25","300.49","37,986,023"
"Aug 2, 2024","338.00","338.00","328.65","330.10","319.71","22,939,377"
"Aug 1, 2024","337.80","344.70","337.15","341.75","331.00","36,044,960"
"Jul 31, 2024","332.05","337.45","329.75","334.20","323.69","21,393,361"
"Jul 30, 2024","332.00","338.25","331.00","331.90","321.46","19,792,253"
"Jul 29, 2024","333.80","339.55","330.75","332.90","322.43","26,721,790"
"Jul 26, 2024","336.50","338.50","330.10","331.60","321.17","25,703,985"
"Jul 25, 2024","318.05","337.55","316.10","335.80","325.24","42,054,664"
"Jul 24, 2024","313.05","325.75","312.10","319.55","309.50","28,259,305"
"Jul 23, 2024","320.05","321.40","297.40","314.15","304.27","37,871,058"
"Jul 22, 2024","320.00","323.35","314.50","320.80","310.71","22,234,557"
"Jul 19, 2024","333.00","333.20","318.05","319.65","309.59","26,579,496"
"Jul 18, 2024","325.10","333.30","321.65","331.70","321.26","48,189,915"
"Jul 16, 2024","323.60","327.60","319.75","322.65","312.50","37,468,292"
"Jul 15, 2024","311.80","323.65","308.65","322.50","312.35","51,435,537"
"Jul 12, 2024","306.80","311.75","304.20","307.10","297.44","31,788,101"
"Jul 11, 2024","300.00","307.20","295.15","304.75","295.16","36,020,507"
"Jul 10, 2024","299.70","299.80","288.85","298.15","288.77","19,278,800"
"Jul 9, 2024","300.80","301.85","293.35","297.45","288.09","18,686,252"
"Jul 8, 2024","290.00","303.00","287.35","299.15","289.74","53,136,198"
"Jul 5, 2024","277.25","289.30","276.50","288.20","279.13","39,781,962"
"Jul 4, 2024","275.00","278.90","273.05","277.05","268.33","13,444,669"
"Jul 3, 2024","276.00","277.70","274.00","274.70","266.06","9,125,400"
"Jul 2, 2024","273.20","279.80","271.50","274.85","266.20","24,470,518"
